Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
,high,3.1,35.1,0.2,0.3,2.3,0,0.1,7.5
,low,2,31,0,0.1,0.3,0,0.1,5.7
Breshad Perriman,NYJ,2.4,36,0.1,0.1,0.4,0,0,6.7
,high,3,44.8,0.2,0.1,0.7,0,0,8
,low,1.7,24.8,0,0,0.1,0,0,5.6
Marcus Johnson,IND,2.2,35.8,0.1,0,0,0,0,6.5
,high,3.1,52.2,0.3,0,0.2,0,0,7.7
,low,1,16.1,0,0,-0.1,0,0.1,4.3
Richie James Jr.,SF,2.3,36.6,0.1,0,0.9,0,0.1,6.5
,high,3,46.1,0.2,0.1,2.4,0,0,7.2
,low,1.4,20.4,0,0,0,0,0.2,5.2
Jakeem Grant,MIA,2.5,29.6,0.1,0.4,2.2,0,0,6.4
,high,2.9,34.3,0.2,0.7,3.6,0.1,0,8.2
,low,2,22.5,0,0.2,1,0,0.1,5.1
Demarcus Robinson,KC,2.5,30.7,0.1,0,0,0,0,6.4
,high,4,49.9,0.3,0,0.1,0,0,7.4
,low,1.3,14,0,0,0,0,0,4.5
KJ Hamler,DEN,2.4,30.6,0.1,0.4,1.9,0,0,6.4
,high,3.6,49.1,0.2,0.8,3.8,0,0,7.5
,low,1.8,18,0,0.1,0.7,0,0.1,4.2
Jalen Guyton,LAC,2.1,30.3,0.1,0.1,0.4,0,0,6
,high,2.9,40.1,0.2,0.2,1,0,0,7.3
,low,1.5,23.1,0,0,-0.1,0,0,5
Marvin Hall,DET,1.8,34.2,0.1,0.1,0.6,0,0,6
,high,2.8,52,0.3,0.2,1.4,0,0,8.5
,low,0.2,4,0,0,0,0,0,2.3
Isaiah Wright,WAS,2.4,27.4,0.1,0.3,1.8,0,0,5.9
,high,3.4,39,0.1,0.8,4.1,0,0,6.8
,low,1.4,14.5,0,0.1,0.3,0,0,4.3
Andy Isabella,ARI,1.8,29.1,0.2,0.2,0.3,0,0,5.8
,high,3.1,51,0.5,0.3,1,0,0,9.8
,low,1,16,0,0,-0.4,0,0,3.4
Braxton Berrios,NYJ,2.5,27.3,0.1,0.1,0.8,0,0,5.8
,high,4.4,48.8,0.2,0.1,1.5,0,0,6.7
,low,0.9,11.4,0,0,0,0,0.2,3.9
Olamide Zaccheaus,ATL,2,28,0.1,0,0.4,0,0,5.7
,high,4.6,73,0.5,0.1,0.8,0,0,12
,low,0.7,9.3,0,0,0,0,0,3.2
Cordarrelle Patterson,CHI,1.7,14.3,0,3.7,17.1,0.1,0,5.6
,high,3,27.4,0.1,6.1,28.2,0.2,0,7
,low,1,9,0,1.5,8.2,0.1,0.1,3.7
James Washington,PIT,1.9,27.5,0.1,0,0,0,0,5.5
,high,2.9,42.8,0.3,0,0.1,0,0,7.3
,low,0.6,8.4,0,0,0,0,0,3
Miles Boykin,BAL,2,27,0.1,0,0,0,0,5.4
,high,2.6,33,0.2,0,0.1,0,0,6
,low,1.4,19.3,0,0,0,0,0,4.6
Willie Snead IV,BAL,2.1,26.6,0.1,0,0.1,0,0,5.3
,high,3.3,39.3,0.2,0,0.2,0,0,6.4
,low,1,17,0,0,0,0,0,3.8
Kalif Raymond,TEN,1.8,27.8,0.1,0.2,0.4,0,0,5.3
,high,2.5,34.5,0.2,0.3,1.1,0,0,6.4
,low,1,21,0,0.1,-0.6,0,0.1,4.1
Kenny Stills,HOU,1.8,25.2,0.2,0,0,0,0,5.3
,high,2.1,31.7,0.3,0,0.1,0,0,6.1
,low,1.2,16.3,0,0,0,0,0,4.1
Chris Conley,JAC,2,26.9,0.1,0,0,0,0,5.3
,high,2.3,31.4,0.2,0,0.1,0,0,6.3
,low,1.5,19.9,0,0,0,0,0,4.7
Isaiah Ford,NE,2.3,24.7,0.1,0,0.3,0,0,5.1
,high,2.3,25,0.1,0.1,0.6,0,0,5.3
,low,2.3,24.4,0,0,0,0,0,5.3
Jeff Smith,NYJ,2.1,24.6,0.1,0.1,0.3,0,0,5.1
,high,3.2,37.6,0.2,0.2,1,0,0,6.6
,low,0.8,11.2,0,0,0,0,0,3.5
Cyril Grayson Jr.,TB,1.7,19,0.2,0,0,0,0,4.8
,high,1.7,19,0.2,0,0,0,0,4.6
,low,1.7,19,0.2,0,0,0,0,4.6
DaeSean Hamilton,DEN,1.9,21.6,0.1,0,0,0,0,4.6
,high,3.8,39,0.2,0,0,0,0,6.2
,low,0.9,9,0,0,0,0,0,3.1
Gabriel Davis,BUF,1.7,22.7,0.1,0.1,0.5,0,0,4.6
,high,2.9,39,0.2,0.3,1,0,0,5.7
,low,1,15,0,0,0,0,0,3.2
Equanimeous St. Brown,GB,1.6,23,0.1,0,0.2,0,0,4.6
,high,2.1,28.7,0.2,0.1,0.4,0,0,5.5
,low,1.1,14.4,0,0,0,0,0,3.7
Devin Duvernay,BAL,1.7,20.8,0.1,0.3,2.3,0,0,4.5
,high,2.9,33.9,0.2,1.1,9.6,0,0,5.5
,low,1,10,0,0,0,0,0.1,2.7
Deonte Harris,NO,1.9,19,0.1,0.7,3.4,0,0,4.5
,high,3.3,30,0.1,0.7,4.3,0,0,5.2
,low,0.5,6,0,0.7,2.5,0,0,3.2
Bryan Edwards,LV,1.6,21,0.1,0.1,0.5,0,0,4.2
,high,2.2,30.3,0.1,0.1,0.6,0,0,5.4
,low,0.9,10,0,0,0,0,0,2.6
Cam Batson,TEN,1.8,17,0.1,0.3,1,0,0,4.2
,high,1.8,17,0.1,0.3,1,0,0,4.2
,low,1.8,17,0.1,0.3,1,0,0,4.2
Quintez Cephus,DET,1.7,20.9,0.1,0,0.2,0,0,4.1
,high,3,34,0.2,0.1,0.8,0,0,5.6
,low,0.4,6.2,0,0,0,0,0,2.4
Isaiah McKenzie,BUF,1.6,15.5,0.1,0.7,3,0,0,4.1
,high,2.3,20.5,0.1,0.8,4,0.1,0,4.6
,low,1,10.3,0,0.4,2.2,0,0,3.4
Kevin White,SF,1.6,20.9,0.1,0.1,0.5,0,0,4.1
,high,2.8,32.7,0.1,0.1,0.8,0,0,5
,low,0.2,3.9,0,0.1,0.1,0,0,2.1
Cedrick Wilson,DAL,1.5,19.1,0.1,0.1,0.7,0,0,4
,high,1.8,24.4,0.1,0.2,1.3,0,0,4.5
,low,1.2,15.3,0,0,0,0,0,3.5
Marquez Callaway,NO,1.7,20,0.1,0.1,0.3,0,0,3.9
,high,2.7,31.8,0.1,0.1,0.7,0,0,5.5
,low,0.6,8,0,0,0,0,0.1,2.7
River Cracraft,SF,1.5,20.3,0.1,0.1,0.5,0,0,3.9
,high,2.5,29.4,0.1,0.1,0.8,0,0,4.3
