Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Alec Ingold,LV,0.5,1.5,0,1.1,8.8,0.1,0,2.6
,high,1,5.1,0,1.8,13.6,0.2,0,3.2
,low,0.2,0,0,0.4,3.8,0,0,2.1
Ito Smith,ATL,2.1,6.4,0,1.1,5.9,0,0,2.6
,high,2.5,7,0.1,2,13,0,0,3.4
,low,1.8,5.8,0,0.2,1.1,0,0,2.5
LeSean McCoy,TB,4.5,8.1,0,0.9,4.6,0,0,2.5
,high,7.3,15.5,0.1,1.6,6.6,0.1,0,2.3
,low,1.8,3.7,0,0.2,1.6,0,0,2.2
Reggie Gilliam,BUF,2,6.6,0,0.9,4.4,0.1,0,2.3
,high,3.1,9.5,0,1.2,4.8,0.1,0,2.3
,low,0.8,3.7,0,0.6,4,0,0,2.3
Alex Collins,SEA,2.4,8.6,0,0.7,2.9,0,0.1,2.2
,high,3.2,12.4,0.1,1,4.2,0.1,0.1,3.5
,low,1.4,5.8,0,0.3,2,0,0.1,1.8
Trenton Cannon,CAR,2,5.5,0,1,4.7,0,0,2.1
,high,2,5.9,0,1.4,6.7,0,0,2.1
,low,2,5.1,0,0.5,2.8,0,0,2.1
Jaylen Samuels,PIT,1.7,5,0,0.8,4.7,0,0,1.9
,high,4.2,10.9,0,2.4,11.9,0,0,1.9
,low,0.6,2,0,0.1,1,0,0,1.2
Qadree Ollison,ATL,2.7,8.1,0.1,0.5,2.3,0,0,1.9
,high,4.9,14.5,0.1,1.4,4.5,0,0,1.8
,low,1.3,5.3,0,0.1,0.7,0,0,1.6
Rashaad Penny,SEA,1.6,9.4,0.1,0.1,1.1,0,0,1.8
,high,1.6,9.4,0.1,0.1,1.1,0,0,1.8
,low,1.6,9.4,0.1,0.1,1.1,0,0,1.8
Patrick Ricard,BAL,0.9,2.1,0,0.7,3.4,0.1,0,1.6
,high,2.5,7.8,0,1,6,0.2,0,2.4
,low,0.1,-0.5,0,0.3,2.1,0,0.1,1
Jakob Johnson,NE,2,6.1,0,0.7,2.6,0,0,1.5
,high,3.9,12.3,0,1.4,5.1,0,0,0.8
,low,0,0,0,0,0,0,0,0.8
Kalen Ballage,LAC,1.7,4,0.1,0.6,2.2,0,0,1.5
,high,1.7,5.5,0.1,0.9,3,0,0,2.1
,low,1.6,2.6,0,0.4,1.3,0,0,2.1
C.J. Ham,MIN,0.7,2.2,0,0.7,5.9,0,0,1.5
,high,1.1,5.6,0,1,8.6,0,0,1.5
,low,0.4,1,0,0.5,3.9,0,0,1.4
Ty Montgomery,NO,1.3,3.8,0,0.7,3.6,0,0,1.5
,high,1.3,4.2,0,0.7,4.5,0,0,1.8
,low,1.3,3.4,0,0.6,2.8,0,0,1.8
Justice Hill,BAL,1.8,5.6,0,0.7,2,0,0,1.5
,high,3.5,12.6,0,1.5,3.9,0,0,1.5
,low,0,0,0,0,0,0,0,0.7
Dare Ogunbowale,JAC,0.4,1.2,0,0.7,5.4,0,0,1.5
,high,0.9,1.8,0,1.6,10.5,0,0,1.7
,low,0,0,0,0.1,1,0,0,0.8
Ameer Abdullah,MIN,1.1,5.2,0,0.5,2.8,0,0,1.4
,high,2.3,8.9,0.1,1,4.9,0,0,2.1
,low,0,0,0,0,0,0,0,0.5
Ryan Nall,CHI,1.9,5.3,0,0.6,2.7,0,0,1.4
,high,4.2,14.8,0,1.4,4.7,0,0,1.4
,low,0,0,0,0.1,1,0,0,0.7
Josh Adams,NYJ,2.2,6.8,0.1,0.4,0.5,0,0,1.4
,high,2.7,7.5,0.1,0.8,0.8,0,0,1.8
,low,1.7,6,0,0,0.2,0,0,1.8
Rico Dowdle,DAL,1.4,5.8,0,0.4,1.9,0,0,1.3
,high,2.8,11.9,0.1,0.6,3.4,0,0,2.3
,low,0,0,0,0.1,1,0,0,0.5
J.J. Taylor,NE,1.3,6.8,0.1,0.2,0.9,0,0,1.3
,high,2.5,11.1,0.1,0.4,2,0,0,2.1
,low,0,0,0,0,0,0,0,0.2
Alex Armah,CAR,0.8,4.2,0,0.5,2.9,0,0,1.3
,high,1.2,11.9,0,1,7,0,0,1.6
,low,0.5,1.4,0,0.1,0,0,0,0.8
Austin Walter,SF,1.5,4.5,0,0.6,1.9,0,0,1.2
,high,1.5,4.5,0,0.6,1.9,0,0,0
,low,1.5,4.5,0,0.6,1.9,0,0,0
Keith Smith,ATL,0.9,2.3,0,0.7,2.7,0,0,1.2
,high,2.2,6.9,0,0.9,4,0,0,1.2
,low,0.2,0.4,0,0.4,1.9,0,0,0.9
Mike Boone,MIN,1,6.3,0,0.2,0.7,0,0,1.1
,high,2,11.1,0.1,0.3,2.3,0,0,1.9
,low,0,0,0,0,0,0,0,0.2
D.J. Foster,ARI,1.3,4,0,0.6,1.3,0,0,1.1
,high,1.3,4,0,0.6,1.3,0,0,0
,low,1.3,4,0,0.6,1.3,0,0,0
Michael Burton,NO,1.3,3.4,0,0.5,2.2,0,0,1.1
,high,3.1,10.1,0,1.1,5,0,0,1.3
,low,0.2,1,0,0.1,0,0,0,0.7
Artavis Pierce,CHI,0.9,3.4,0,0.3,2.3,0,0,1
,high,1.7,6.4,0,0.5,3.3,0,0,1.3
,low,0,0,0,0.1,0.7,0,0,0.7
Anthony Sherman,KC,0.7,1.2,0,0.3,1.8,0.1,0,0.9
,high,1.2,3.1,0,0.5,3.9,0.2,0,2
,low,0.4,0,0,0.2,1,0,0,0.6
Chandler Cox,MIA,0.5,1.3,0,0.4,3.2,0,0,0.9
,high,1,4,0,0.7,4.5,0,0,1.3
,low,0,0,0,0.3,1,0,0,0.6
Elijhaa Penny,NYG,1.3,4,0,0.3,1.4,0,0,0.9
,high,3.2,10.5,0,0.7,3.1,0,0,0.9
,low,0.2,1,0,0.1,0.4,0,0,0.5
Trey Edmunds,PIT,0,4,0,0.2,0.7,0,0,0.9
,high,0,4,0,0.2,0.7,0,0,0.9
,low,0,4,0,0.2,0.7,0,0,0.9
Jeremy Cox,DEN,0,2.5,0,0.3,1.8,0,0,0.9
,high,0,2.5,0,0.3,1.8,0,0,0.9
,low,0,2.5,0,0.3,1.8,0,0,0.9
Gabe Nabers,LAC,0.9,2.5,0,0.3,2.6,0,0,0.9
,high,1.4,6,0,0.4,4,0,0,1.5
,low,0.3,0.5,0,0.1,0.9,0,0,0.5
Khari Blasingame,TEN,1,1.5,0,0.4,1.9,0,0,0.8
,high,1,3,0,0.4,2.5,0,0,0.8
,low,1,0,0,0.3,1.2,0,0,0.8
Senorise Perry,TEN,1.1,3.6,0,0.3,0.8,0,0,0.8
,high,1.6,4.8,0,0.7,1.5,0,0,0.6
,low,0.6,2.5,0,0,0,0,0,0.6
Theo Riddick,LV,0.5,2,0,0.3,2,0,0,0.7
,high,0.5,2,0,0.3,2,0,0,0.8
,low,0.5,2,0,0.3,2,0,0,0.8
Bo Scarbrough,DET,1.8,6.4,0,0,0.1,0,0,0.7
,high,1.8,6.4,0,0,0.1,0,0,0.7
,low,1.8,6.4,0,0,0.1,0,0,0.7
Cullen Gillaspia,HOU,0.3,0.8,0,0.3,2.1,0,0,0.6
